node_id,ipa_result,mc_10k,abs_error_10k,mc_100k,abs_error_100k,mc_1m,abs_error_1m
237,0.886496297,0.8917,0.005203703,0.88667,0.000173703,0.886373,
238,0.789181211,0.7957,0.006518789,0.789016,0.000165211,0.789623,
239,0.74813491,0.7552,0.00706509,0.748298,0.00016309,0.747767,
240,0.7452909,0.7499,0.0046091,0.744909,0.0003819,0.744611,
241,0.777080197,0.7762,0.000880197,0.776753,0.000327197,0.777066,
242,0.826183805,0.8203,0.005883805,0.826612,0.000428195,0.82658,
243,0.797090615,0.7992,0.002109385,0.79675,0.000340615,0.796218,
244,0.757630587,0.7617,0.004069413,0.757645,1.44E-05,0.758071,
245,0.768846171,0.7723,0.003453829,0.768404,0.000442171,0.768902,
246,0.734218723,0.739,0.004781277,0.734149,6.97E-05,0.734379,
247,0.686537526,0.6883,0.001762474,0.68638,0.000157526,0.686559,
248,0.818387352,0.821,0.002612648,0.818054,0.000333352,0.819015,
249,0.350492293,0.3529,0.002407707,0.349428,0.001064293,0.349845,
250,0.337523395,0.3391,0.001576605,0.336914,0.000609395,0.337222,
251,0.871677089,0.8688,0.002877089,0.872022,0.000344911,0.87149,
252,0.851454578,0.8529,0.001445422,0.851806,0.000351422,0.851715,
253,0.882979547,0.8867,0.003720453,0.882318,0.000661547,0.883217,
254,0.840524211,0.8411,0.000575789,0.840253,0.000271211,0.84031,
255,0.909666483,0.9141,0.004433517,0.90935,0.000316483,0.909668,
256,0.765172147,0.7714,0.006227853,0.765059,0.000113147,0.765649,
257,0.832744071,0.8287,0.004044071,0.832387,0.000357071,0.832659,
258,0.83649871,0.8419,0.00540129,0.836763,0.00026429,0.835774,
259,0.828655565,0.8291,0.000444435,0.828942,0.000286435,0.828727,
260,0.866209506,0.8729,0.006690494,0.866052,0.000157506,0.865826,
261,0.139369351,0.141,0.001630649,0.139054,0.000315351,0.139119,
262,0.124835312,0.1247,0.000135312,0.12496,0.000124688,0.12508,
263,0.150253903,0.1528,0.002546097,0.149772,0.000481903,0.150118,
264,0.877126363,0.8773,0.000173637,0.877153,2.66E-05,0.877038,
265,0.356085141,0.361,0.004914859,0.356155,6.99E-05,0.355803,
266,0.753083561,0.7493,0.003783561,0.753251,0.000167439,0.752639,
267,0.765633208,0.7658,0.000166792,0.765903,0.000269792,0.765875,
268,0.72827135,0.7414,0.01312865,0.728322,5.06E-05,0.728472,
269,0.655088536,0.6523,0.002788536,0.655463,0.000374464,0.655494,
270,0.733085616,0.7343,0.001214384,0.733121,3.54E-05,0.73315,
271,0.765425014,0.7688,0.003374986,0.765271,0.000154014,0.765004,
272,0.712077101,0.7166,0.004522899,0.711432,0.000645101,0.711846,
273,0.749624214,0.7515,0.001875786,0.74948,0.000144214,0.750328,
274,0.616146344,0.6113,0.004846344,0.616682,0.000535656,0.616451,
275,0.681986013,0.6778,0.004186013,0.682523,0.000536987,0.682008,
276,0.753340715,0.7493,0.004040715,0.752468,0.000872715,0.752988,
277,0.681465338,0.6744,0.007065338,0.681532,6.67E-05,0.680853,
278,0.246200239,0.2458,0.000400239,0.245932,0.000268239,0.246054,
279,0.294045981,0.2995,0.005454019,0.293675,0.000370981,0.29364,
280,0.838694451,0.8395,0.000805549,0.838892,0.000197549,0.838134,
281,0.824336812,0.8276,0.003263188,0.824738,0.000401188,0.824206,
282,0.817695127,0.8155,0.002195127,0.817573,0.000122127,0.817641,
283,0.819949725,0.824,0.004050275,0.820157,0.000207275,0.819848,
284,0.815707611,0.815,0.000707611,0.815726,1.84E-05,0.815956,
285,0.813920146,0.814,7.99E-05,0.814182,0.000261854,0.813906,
