Node,AlgoValue,MCValue(1million),Diff,MCValue(100thousand),Diff,MCValue(10thousand),Diff
97,0.860069587,0.859571,0.000498587,0.73049,0.00149,0.6962,0.004729629
605,0.668562622,0.668065,0.000497622,0.85093,0.001486384,0.696,0.004719631
84,0.687259414,0.686762,0.000497414,0.6994,0.001486321,0.8953,0.0047
800,0.862509789,0.862013,0.000496789,0.69061,0.00148459,0.9047,0.0047
627,0.689739355,0.690235,0.000495645,0.85522,0.001484422,0.856,0.004694604
190,0.9,0.899506,0.000494,0.86689,0.001481507,0.8672,0.004690211
145,0.861740257,0.862234,0.000493743,0.85472,0.001471479,0.8722,0.00469
992,0.860694604,0.860202,0.000492604,0.89126,0.001470649,0.8722,0.00469
80,0.685489141,0.684998,0.000491141,0.69319,0.001470319,0.8974,0.004669351
236,0.729,0.729487,0.000487,0.86186,0.001470094,0.8974,0.004669351
324,0.855471225,0.855958,0.000486775,0.90147,0.00147,0.6993,0.004667716
429,0.694660319,0.694174,0.000486319,0.86309,0.001468175,0.6639,0.004662622
257,0.9,0.899514,0.000486,0.86897,0.00146,0.6852,0.00463993
182,0.861740257,0.861256,0.000484257,0.90146,0.00146,0.8881,0.004630649
749,0.86751,0.867026,0.000484,0.8586,0.001459137,0.8892,0.0046269
124,0.691280369,0.690801,0.000479369,0.85905,0.0014452,0.8629,0.00461
815,0.86751,0.867031,0.000479,0.86495,0.001441247,0.8653,0.004605396
920,0.9,0.900479,0.000479,0.89129,0.001440649,0.8954,0.0046
425,0.86751,0.867988,0.000478,0.86394,0.001430211,0.8954,0.0046
294,0.8938269,0.89335,0.0004769,0.85516,0.001424422,0.9046,0.0046
1026,0.861603599,0.86208,0.000476401,0.68889,0.001423256,0.9046,0.0046
24,0.694632284,0.69416,0.000472284,0.86609,0.00142,0.8583,0.004564422
370,0.729,0.729472,0.000472,0.90142,0.00142,0.6926,0.004562629
183,0.861740257,0.86221,0.000469743,0.69608,0.001419681,0.8414,0.004561506
745,0.86751,0.867978,0.000468,0.69267,0.001416301,0.695,0.004542729
717,0.9,0.899535,0.000465,0.85406,0.001411225,0.5638,0.004529611
895,0.9,0.900465,0.000465,0.86033,0.001410257,0.8512,0.004515424
345,0.853298513,0.853761,0.000462487,0.89859,0.00141,0.9045,0.0045
687,0.861621825,0.862084,0.000462175,0.90141,0.00141,0.8442,0.00449978
561,0.696915823,0.697377,0.000461177,0.8611,0.001409789,0.872,0.00449
331,0.830453326,0.830913,0.000459674,0.85214,0.001409033,0.6991,0.004467716
889,0.822869648,0.822413,0.000456648,0.69576,0.001402629,0.8492,0.004467125
817,0.729,0.728544,0.000456,0.86681,0.001401507,0.8662,0.004459743
577,0.854602137,0.855058,0.000455863,0.85582,0.001395397,0.8573,0.004440257
469,0.9,0.900454,0.000454,0.83502,0.001391701,0.857,0.004413538
428,0.676782417,0.67633,0.000452417,0.89134,0.001390649,0.5698,0.004412218
811,0.8938269,0.893378,0.0004489,0.89861,0.00139,0.8631,0.00441
882,0.823963841,0.824412,0.000448159,0.89861,0.00139,0.5639,0.004406617
260,0.86751,0.867957,0.000447,0.89861,0.00139,0.8956,0.0044
679,0.865408493,0.864962,0.000446493,0.54232,0.001388252,0.9044,0.0044
641,0.690732571,0.691179,0.000446429,0.86301,0.001388175,0.9044,0.0044
746,0.86751,0.867065,0.000445,0.69361,0.001382269,0.9044,0.0044
855,0.822055687,0.821611,0.000444687,0.69328,0.001380319,0.862,0.004391247
837,0.855471225,0.85503,0.000441225,0.89411,0.001379351,0.8719,0.00439
741,0.830535504,0.830095,0.000440504,0.82089,0.001377422,0.6724,0.004382417
74,0.688812575,0.689253,0.000440425,0.86888,0.00137,0.866,0.004378175
174,0.855715424,0.856155,0.000439576,0.69664,0.001369608,0.6903,0.004360319
267,0.865408493,0.864969,0.000439493,0.696,0.001367716,0.6829,0.004359414
332,0.847318546,0.847757,0.000438454,0.8473,0.001367181,0.8494,0.004314547
632,0.694660319,0.695098,0.000437681,0.55791,0.001360389,0.8957,0.0043
450,0.835908223,0.835472,0.000436223,0.90136,0.00136,0.8957,0.0043
497,0.862509789,0.862945,0.000435211,0.90136,0.00136,0.8287,0.00429775
487,0.851494886,0.85193,0.000435114,0.67131,0.001357194,0.5552,0.004293383
555,0.694632284,0.695066,0.000433716,0.56085,0.001356617,0.8718,0.00429
387,0.83541729,0.834984,0.00043329,0.69329,0.001342284,0.8567,0.004283616
393,0.9,0.899568,0.000432,0.89866,0.00134,0.8659,0.004278175
195,0.9,0.899569,0.000431,0.86183,0.001338578,0.897,0.004269351
1009,0.853549033,0.853119,0.000430033,0.68807,0.001338119,0.8597,0.004246242
778,0.865408493,0.865838,0.000429507,0.74096,0.001337984,0.8282,0.004236159
594,0.685489141,0.685916,0.000426859,0.90133,0.00133,0.8574,0.004221825
672,0.861621825,0.861195,0.000426825,0.86884,0.00133,0.8502,0.004219756
900,0.9,0.900426,0.000426,0.85704,0.001324576,0.6963,0.00421715
575,0.692227731,0.692653,0.000425269,0.86673,0.001321507,0.8612,0.004208493
565,0.846282891,0.846706,0.000423109,0.86042,0.001320257,0.9042,0.0042
984,0.860694604,0.861116,0.000421396,0.86042,0.001320257,0.9042,0.0042
447,0.9,0.900421,0.000421,0.82155,0.001319648,0.8958,0.0042
1029,0.84869978,0.848279,0.00042078,0.68417,0.001319141,0.8958,0.0042
504,0.844601686,0.845022,0.000420314,0.85574,0.001315397,0.8667,0.004190211
651,0.861740257,0.861321,0.000419257,0.86508,0.001311247,0.8658,0.004178175
453,0.9,0.900418,0.000418,0.69444,0.001310506,0.6949,0.004167429
253,0.9,0.900417,0.000417,0.69278,0.001309629,0.8576,0.004140257
515,0.84869978,0.849115,0.00041522,0.86293,0.001308175,0.8886,0.004130649
422,0.86751,0.867095,0.000415,0.69106,0.001307969,0.8516,0.004115424
664,0.892730649,0.892316,0.000414649,0.7277,0.0013,0.8584,0.004109789
48,0.690457271,0.690043,0.000414271,0.69203,0.001297429,0.8959,0.0041
755,0.9,0.899586,0.000414,0.83183,0.001294496,0.9041,0.0041
903,0.86751,0.867918,0.000408,0.8638,0.001290211,0.8959,0.0041
320,0.853735578,0.854143,0.000407422,0.8688,0.00129,0.8968,0.004069351
968,0.9,0.900407,0.000407,0.85803,0.001289954,0.697,0.004068308
454,0.9,0.900406,0.000406,0.69104,0.001287969,0.6906,0.004060319
607,0.851654234,0.85206,0.000405766,0.85238,0.001287125,0.8658,0.004059743
214,0.861413538,0.861008,0.000405538,0.90128,0.00128,0.8495,0.004049033
615,0.690732571,0.691138,0.000405429,0.69256,0.001279631,0.6889,0.004031692
913,0.9,0.900404,0.000404,0.85922,0.0012752,0.6835,0.004008192
203,0.9,0.899597,0.000403,0.69928,0.001270392,0.904,0.004
479,0.861621825,0.861221,0.000400825,0.86624,0.00127,0.904,0.004
28,0.690457271,0.690058,0.000399271,0.90127,0.00127,0.8967,0.003969351
88,0.848667181,0.848268,0.000399181,0.86877,0.00126,0.6858,0.003952031
887,0.856740046,0.857137,0.000396954,0.68948,0.001252571,0.8638,0.003925611
223,0.8938269,0.89343,0.0003969,0.84988,0.001251674,0.8636,0.00391
