abs_error_1m,ipa_result,mc_1m,mc_100k,node_id,mc_10k,abs_error_10k,abs_error_100k
0.00040514163276267334,0.14831985836723732,0.148725,0.14737,58,0.1476,0.0007198583672373138,0.0009498583672373218
0.0002355283394962493,0.5403544716605038,0.54059,0.53795,59,0.5459,0.005545528339496286,0.0024044716605037264
0.0004891791177659144,0.5701818208822341,0.570671,0.57174,60,0.5786,0.008418179117765878,0.001558179117765901
0.0001281323702487791,0.6406491323702488,0.640521,0.63871,61,0.6441,0.0034508676297512197,0.0019391323702487862
2.9653659636363905e-5,0.6665803463403637,0.66661,0.66848,62,0.6733,0.006719653659636338,0.0018996536596362912
0.00012458419965888368,0.5526504158003411,0.552775,0.55509,63,0.558,0.005349584199658919,0.0024395841996588397
0.0002801270509631415,0.9228251270509631,0.922545,0.92326,64,0.9205,0.002325127050963105,0.0004348729490368797
0.00034349588911150586,0.1753005041108885,0.175644,0.17358,65,0.1745,0.0008005041108885003,0.0017205041108884767
0.00012868536938476227,0.11308868536938477,0.11296,0.11184,66,0.1145,0.0014113146306152374,0.0012486853693847721
0.0004336542783058839,0.4488103457216941,0.449244,0.45009,67,0.4547,0.0058896542783059,0.0012796542783058973
0.000296309227878655,0.39622069077212135,0.396517,0.39541,68,0.3984,0.002179309227878623,0.0008106907721213696
0.000449684209531398,0.2979246842095314,0.297475,0.29652,69,0.2958,0.00212468420953138,0.0014046842095313816
0.00018608813455339712,0.2920949118654466,0.292281,0.29057,70,0.297,0.00490508813455337,0.001524911865446621
0.000513273172059181,0.22840272682794083,0.228916,0.22672,71,0.2298,0.001397273172059177,0.0016827268279408225
0.00033435009834437146,0.17205364990165564,0.172388,0.17052,72,0.1735,0.0014463500983443456,0.001533649901655637
0.00038881022829331813,0.13015518977170668,0.130544,0.12831,73,0.1309,0.0007448102282933133,0.0018451897717066679
0.0005895005897610661,0.15592149941023895,0.156511,0.15457,74,0.1595,0.0035785005897610578,0.0013514994102389322
0.0006603559516883128,0.1663396440483117,0.167,0.16513,75,0.1687,0.002360355951688292,0.0012096440483116977
6.631472553059181e-5,0.26147631472553057,0.26141,0.26137,76,0.2604,0.0010763147255305472,0.0001063147255305763
1.2491905571176964e-5,0.19470050809442882,0.194713,0.19421,77,0.1922,0.0025005080944288105,0.0004905080944288265
0.0001494623280227092,0.1441354623280227,0.143986,0.1438,78,0.1415,0.002635462328022725,0.00033546232802270093
0.0003688342855299176,0.24135416571447008,0.241723,0.24113,79,0.2403,0.0010541657144700622,0.00022416571447006484
0.0005347677174376564,0.21539023228256235,0.215925,0.21631,80,0.2154,9.767717437658696e-6,0.0009197677174376528
0.00033683014173360726,0.1381911698582664,0.138528,0.13767,81,0.136,0.002191169858266395,0.0005211698582664182
7.982949784512972e-5,0.5822381705021549,0.582318,0.58389,82,0.59,0.007761829497845096,0.0016518294978451475
0.000833417323908292,0.6262754173239083,0.625442,0.62544,83,0.63,0.003724582676091659,0.0008354173239083496
0.0001392780492235346,0.7130107219507764,0.71315,0.71145,84,0.7225,0.009489278049223615,0.0015607219507763892
