Node,AlgoValue,ExactValue,AbsDiff,PercError
115,0.27706337528786107,0.2770633752878611,5.551115123125783e-17,2.0035542833325874e-14
119,0.42228833301000007,0.4222883330100001,5.551115123125783e-17,1.3145319652945108e-14
121,0.42228833301000007,0.4222883330100001,5.551115123125783e-17,1.3145319652945108e-14
123,0.27706337528786107,0.2770633752878611,5.551115123125783e-17,2.0035542833325874e-14
125,0.2244213339831675,0.22442133398316755,5.551115123125783e-17,2.4735238065834405e-14
198,0.3024820335711511,0.30248203357115117,5.551115123125783e-17,1.835188377170185e-14
199,0.33609114841239013,0.3360911484123902,5.551115123125783e-17,1.651669539453166e-14
200,0.37343460934710015,0.3734346093471002,5.551115123125783e-17,1.48650258550785e-14
226,0.4098960754474391,0.40989607544743906,5.551115123125783e-17,1.3542737917327539e-14
299,0.4610303819100002,0.4610303819100001,5.551115123125783e-17,1.2040670942613585e-14
34,0.2205094024733692,0.22050940247336917,2.7755575615628914e-17,1.2587025906517044e-14
35,0.19845846222603228,0.19845846222603225,2.7755575615628914e-17,1.3985584340574495e-14
114,0.24935703775907497,0.249357037759075,2.7755575615628914e-17,1.1130857129625484e-14
124,0.24935703775907497,0.249357037759075,2.7755575615628914e-17,1.1130857129625484e-14
126,0.20197920058485075,0.20197920058485072,2.7755575615628914e-17,1.3741798925463563e-14
152,0.19845846222603228,0.19845846222603225,2.7755575615628914e-17,1.3985584340574495e-14
153,0.17861261600342906,0.17861261600342904,2.7755575615628914e-17,1.5539538156193882e-14
154,0.16075135440308616,0.16075135440308613,2.7755575615628914e-17,1.726615350688209e-14
194,0.19845846222603228,0.19845846222603225,2.7755575615628914e-17,1.3985584340574495e-14
195,0.2205094024733692,0.22050940247336917,2.7755575615628914e-17,1.2587025906517044e-14
1,0.16677181699666577,0.16677181699666577,0.0,0.0
2,0.1853020188851842,0.1853020188851842,0.0,0.0
3,0.2058911320946491,0.2058911320946491,0.0,0.0
4,0.22876792454961012,0.22876792454961012,0.0,0.0
5,0.25418658283290013,0.25418658283290013,0.0,0.0
6,0.28242953648100017,0.28242953648100017,0.0,0.0
7,0.31381059609000017,0.31381059609000017,0.0,0.0
8,0.34867844010000015,0.34867844010000015,0.0,0.0
9,0.38742048900000015,0.38742048900000015,0.0,0.0
10,0.43046721000000016,0.43046721000000016,0.0,0.0
11,0.47829690000000014,0.47829690000000014,0.0,0.0
12,0.5314410000000002,0.5314410000000002,0.0,0.0
13,0.5904900000000002,0.5904900000000002,0.0,0.0
14,0.6561000000000001,0.6561000000000001,0.0,0.0
15,0.7290000000000001,0.7290000000000001,0.0,0.0
16,0.81,0.81,0.0,0.0
17,0.9,0.9,0.0,0.0
18,1.0,1.0,0.0,0.0
19,0.9,0.9,0.0,0.0
20,0.81,0.81,0.0,0.0
21,0.7290000000000001,0.7290000000000001,0.0,0.0
22,0.6561000000000001,0.6561000000000001,0.0,0.0
23,0.5904900000000002,0.5904900000000002,0.0,0.0
24,0.6324147900000001,0.6324147900000001,0.0,0.0
25,0.5691733110000001,0.5691733110000001,0.0,0.0
26,0.5122559799000002,0.5122559799000002,0.0,0.0
28,0.41492734371900014,0.41492734371900014,0.0,0.0
32,0.272233830214036,0.272233830214036,0.0,0.0
33,0.24501044719263243,0.24501044719263243,0.0,0.0
36,0.22876792454961012,0.22876792454961012,0.0,0.0
37,0.25418658283290013,0.25418658283290013,0.0,0.0
38,0.28242953648100017,0.28242953648100017,0.0,0.0
39,0.31381059609000017,0.31381059609000017,0.0,0.0
40,0.34867844010000015,0.34867844010000015,0.0,0.0
41,0.38742048900000015,0.38742048900000015,0.0,0.0
42,0.43046721000000016,0.43046721000000016,0.0,0.0
43,0.47829690000000014,0.47829690000000014,0.0,0.0
44,0.5314410000000002,0.5314410000000002,0.0,0.0
45,0.43046721000000016,0.43046721000000016,0.0,0.0
46,0.38742048900000015,0.38742048900000015,0.0,0.0
47,0.34867844010000015,0.34867844010000015,0.0,0.0
48,0.31381059609000017,0.31381059609000017,0.0,0.0
49,0.28242953648100017,0.28242953648100017,0.0,0.0
50,0.25418658283290013,0.25418658283290013,0.0,0.0
51,0.47829690000000014,0.47829690000000014,0.0,0.0
52,0.43046721000000016,0.43046721000000016,0.0,0.0
53,0.38742048900000015,0.38742048900000015,0.0,0.0
54,0.34867844010000015,0.34867844010000015,0.0,0.0
55,0.31381059609000017,0.31381059609000017,0.0,0.0
56,0.28242953648100017,0.28242953648100017,0.0,0.0
57,0.43046721000000016,0.43046721000000016,0.0,0.0
58,0.38742048900000015,0.38742048900000015,0.0,0.0
59,0.34867844010000015,0.34867844010000015,0.0,0.0
60,0.31381059609000017,0.31381059609000017,0.0,0.0
61,0.28242953648100017,0.28242953648100017,0.0,0.0
62,0.25418658283290013,0.25418658283290013,0.0,0.0
63,0.22876792454961012,0.22876792454961012,0.0,0.0
71,0.57927069,0.57927069,0.0,0.0
75,0.9809999999999999,0.9809999999999999,0.0,0.0
76,0.9,0.9,0.0,0.0
77,0.81,0.81,0.0,0.0
78,0.7290000000000001,0.7290000000000001,0.0,0.0
79,0.6561000000000001,0.6561000000000001,0.0,0.0
80,0.5904900000000002,0.5904900000000002,0.0,0.0
81,0.5314410000000002,0.5314410000000002,0.0,0.0
82,0.47829690000000014,0.47829690000000014,0.0,0.0
83,0.43046721000000016,0.43046721000000016,0.0,0.0
84,0.38742048900000015,0.38742048900000015,0.0,0.0
85,0.34867844010000015,0.34867844010000015,0.0,0.0
86,0.31381059609000017,0.31381059609000017,0.0,0.0
87,0.28242953648100017,0.28242953648100017,0.0,0.0
88,0.25418658283290013,0.25418658283290013,0.0,0.0
89,0.22876792454961012,0.22876792454961012,0.0,0.0
90,0.2058911320946491,0.2058911320946491,0.0,0.0
91,0.1853020188851842,0.1853020188851842,0.0,0.0
94,0.43046721000000016,0.43046721000000016,0.0,0.0
95,0.47829690000000014,0.47829690000000014,0.0,0.0
96,0.5314410000000002,0.5314410000000002,0.0,0.0
97,0.5904900000000002,0.5904900000000002,0.0,0.0
99,0.57927069,0.57927069,0.0,0.0
102,0.43046721000000016,0.43046721000000016,0.0,0.0
103,0.47829690000000014,0.47829690000000014,0.0,0.0
106,0.43046721000000016,0.43046721000000016,0.0,0.0
107,0.47829690000000014,0.47829690000000014,0.0,0.0
108,0.5314410000000002,0.5314410000000002,0.0,0.0
109,0.5691733110000001,0.5691733110000001,0.0,0.0
110,0.5122559799000002,0.5122559799000002,0.0,0.0
129,0.0984770902183612,0.0984770902183612,0.0,0.0
130,0.10941898913151243,0.10941898913151243,0.0,0.0
131,0.12157665459056936,0.12157665459056936,0.0,0.0
132,0.13508517176729928,0.13508517176729928,0.0,0.0
133,0.1500946352969992,0.1500946352969992,0.0,0.0
134,0.16677181699666577,0.16677181699666577,0.0,0.0
135,0.1853020188851842,0.1853020188851842,0.0,0.0
136,0.2058911320946491,0.2058911320946491,0.0,0.0
137,0.22876792454961012,0.22876792454961012,0.0,0.0
138,0.25418658283290013,0.25418658283290013,0.0,0.0
139,0.28242953648100017,0.28242953648100017,0.0,0.0
140,0.31381059609000017,0.31381059609000017,0.0,0.0
141,0.34867844010000015,0.34867844010000015,0.0,0.0
142,0.38742048900000015,0.38742048900000015,0.0,0.0
143,0.43046721000000016,0.43046721000000016,0.0,0.0
144,0.47829690000000014,0.47829690000000014,0.0,0.0
146,0.2058911320946491,0.2058911320946491,0.0,0.0
147,0.22876792454961012,0.22876792454961012,0.0,0.0
148,0.25418658283290013,0.25418658283290013,0.0,0.0
149,0.28242953648100017,0.28242953648100017,0.0,0.0
150,0.31381059609000017,0.31381059609000017,0.0,0.0
151,0.34867844010000015,0.34867844010000015,0.0,0.0
155,0.14467621896277755,0.14467621896277755,0.0,0.0
156,0.25418658283290013,0.25418658283290013,0.0,0.0
157,0.28242953648100017,0.28242953648100017,0.0,0.0
158,0.31381059609000017,0.31381059609000017,0.0,0.0
159,0.22876792454961012,0.22876792454961012,0.0,0.0
160,0.2058911320946491,0.2058911320946491,0.0,0.0
161,0.1853020188851842,0.1853020188851842,0.0,0.0
165,0.8433478916000718,0.8433478916000718,0.0,0.0
170,0.7271654058900001,0.7271654058900001,0.0,0.0
172,0.5314410000000002,0.5314410000000002,0.0,0.0
173,0.6427832039100001,0.6427832039100001,0.0,0.0
174,0.5314410000000002,0.5314410000000002,0.0,0.0
179,0.5494440421719,0.5494440421719,0.0,0.0
183,0.7290000000000001,0.7290000000000001,0.0,0.0
184,0.7290000000000001,0.7290000000000001,0.0,0.0
185,0.6561000000000001,0.6561000000000001,0.0,0.0
186,0.8081204039100003,0.8081204039100003,0.0,0.0
187,0.5904900000000002,0.5904900000000002,0.0,0.0
188,0.6561000000000001,0.6561000000000001,0.0,0.0
189,0.7290000000000001,0.7290000000000001,0.0,0.0
190,0.7290000000000001,0.7290000000000001,0.0,0.0
191,0.6561000000000001,0.6561000000000001,0.0,0.0
192,0.8277071402619001,0.8277071402619001,0.0,0.0
193,0.6314050521000001,0.6314050521000001,0.0,0.0
196,0.24501044719263243,0.24501044719263243,0.0,0.0
197,0.272233830214036,0.272233830214036,0.0,0.0
201,0.41492734371900014,0.41492734371900014,0.0,0.0
206,0.6943246838607796,0.6943246838607796,0.0,0.0
207,0.47829690000000014,0.47829690000000014,0.0,0.0
208,0.6066320414876102,0.6066320414876102,0.0,0.0
209,0.7290000000000001,0.7290000000000001,0.0,0.0
210,0.6561000000000001,0.6561000000000001,0.0,0.0
211,0.5904900000000002,0.5904900000000002,0.0,0.0
212,0.5314410000000002,0.5314410000000002,0.0,0.0
214,0.5040771029100002,0.5040771029100002,0.0,0.0
215,0.38742048900000015,0.38742048900000015,0.0,0.0
216,0.34867844010000015,0.34867844010000015,0.0,0.0
217,0.31381059609000017,0.31381059609000017,0.0,0.0
219,0.28242953648100017,0.28242953648100017,0.0,0.0
220,0.25418658283290013,0.25418658283290013,0.0,0.0
221,0.22876792454961012,0.22876792454961012,0.0,0.0
222,0.2058911320946491,0.2058911320946491,0.0,0.0
223,0.1853020188851842,0.1853020188851842,0.0,0.0
224,0.16677181699666577,0.16677181699666577,0.0,0.0
225,0.28242953648100017,0.28242953648100017,0.0,0.0
227,0.28242953648100017,0.28242953648100017,0.0,0.0
228,0.31381059609000017,0.31381059609000017,0.0,0.0
229,0.34867844010000015,0.34867844010000015,0.0,0.0
230,0.38742048900000015,0.38742048900000015,0.0,0.0
231,0.43046721000000016,0.43046721000000016,0.0,0.0
232,0.47829690000000014,0.47829690000000014,0.0,0.0
